126 80.0 0.0196875 148.703098861 1.14285714286[[ 0.19383692]][[ 0.99998855]][[ 0.99999702]][[ 0.85029791]][[ 0.00076014]][[ 0.99997711]]
154 60.0 0.0427777777778 67.3856965467 1.0[[ 0.10854868]][[ 0.99998814]][[ 0.99999833]][[ 0.92432349]][[ 0.00042568]][[ 0.99997627]]
116 66.0 0.0266299357208 32.5516054722 1.03125[[ 0.10854868]][[ 0.99999022]][[ 0.99999833]][[ 0.90666583]][[ 0.00042568]][[ 0.99998045]]
67 42.0 0.0379818594104 113.877438256 1.0[[ 0.09304172]][[ 0.99999398]][[ 0.99999857]][[ 0.86516782]][[ 0.00036487]][[ 0.99998796]]
150 72.0 0.0289351851852 114.685155718 1.0[[ 0.2015904]][[ 0.9999873]][[ 0.9999969]][[ 0.86096102]][[ 0.00079055]][[ 0.9999746]]
43 34.0 0.0371972318339 289.314285292 1.0[[ 0.07753477]][[ 0.99999577]][[ 0.99999881]][[ 0.83606498]][[ 0.00030406]][[ 0.99999153]]
110 52.0 0.0406804733728 96.5506972755 1.0[[ 0.10854868]][[ 0.999991]][[ 0.99999833]][[ 0.89780938]][[ 0.00042568]][[ 0.999982]]
402 106.0 0.0357778568886 63.0031452628 1.0[[ 0.18608345]][[ 0.99997138]][[ 0.99999714]][[ 0.94736699]][[ 0.00072974]][[ 0.99994277]]
280 102.0 0.0269127258747 58.3936111694 1.10869565217[[ 0.23260431]][[ 0.99997842]][[ 0.99999642]][[ 0.90963677]][[ 0.00091217]][[ 0.99995684]]
72 60.0 0.02 132.686020907 1.07142857143[[ 0.09304172]][[ 0.99999314]][[ 0.99999857]][[ 0.88349443]][[ 0.00036487]][[ 0.99998629]]
253 92.0 0.0298913043478 58.6366891374 1.0[[ 0.24811126]][[ 0.99998021]][[ 0.99999618]][[ 0.89333143]][[ 0.00097299]][[ 0.99996041]]
51 40.0 0.031875 415.290682659 1.0[[ 0.09304172]][[ 0.99999499]][[ 0.99999857]][[ 0.83333262]][[ 0.00036487]][[ 0.99998998]]
84 50.0 0.0336 156.615497173 1.0[[ 0.1007952]][[ 0.99999267]][[ 0.99999845]][[ 0.88181741]][[ 0.00039528]][[ 0.99998533]]
32 28.0 0.0408163265306 273.539719792 1.0[[ 0.05427434]][[ 0.99999678]][[ 0.99999917]][[ 0.85106341]][[ 0.00021284]][[ 0.99999356]]
240 82.0 0.0356930398572 153.75465075 1.0[[ 0.18608345]][[ 0.99998176]][[ 0.99999714]][[ 0.91489219]][[ 0.00072974]][[ 0.99996351]]
92 52.0 0.0340236686391 294.317378782 1.0[[ 0.10854868]][[ 0.99999207]][[ 0.99999833]][[ 0.88235211]][[ 0.00042568]][[ 0.99998414]]
44 32.0 0.04296875 72.2872929482 1.0[[ 0.06202782]][[ 0.99999589]][[ 0.99999905]][[ 0.86885198]][[ 0.00024325]][[ 0.99999177]]
175 78.0 0.0287639710717 217.957037579 1.05405405405[[ 0.17832997]][[ 0.99998581]][[ 0.99999726]][[ 0.89302188]][[ 0.00069933]][[ 0.99997162]]
140 68.0 0.030276816609 27.0122524177 1.0[[ 0.11630215]][[ 0.99998867]][[ 0.99999821]][[ 0.91428482]][[ 0.00045609]][[ 0.99997734]]
154 66.0 0.0353535353535 38.9814219879 1.0[[ 0.15506954]][[ 0.9999876]][[ 0.99999762]][[ 0.89361583]][[ 0.00060812]][[ 0.9999752]]
134 64.0 0.03271484375 86.8140079535 1.03225806452[[ 0.12405563]][[ 0.99998909]][[ 0.99999809]][[ 0.90419066]][[ 0.00048649]][[ 0.99997818]]
260 102.0 0.0249903883122 160.738449447 1.08510638298[[ 0.23260431]][[ 0.99997961]][[ 0.99999642]][[ 0.90384437]][[ 0.00091217]][[ 0.99995922]]
86 52.0 0.0318047337278 456.144106836 1.0[[ 0.10854868]][[ 0.99999243]][[ 0.99999833]][[ 0.87610536]][[ 0.00042568]][[ 0.99998486]]
60 38.0 0.0415512465374 255.855115399 1.0[[ 0.06202782]][[ 0.99999475]][[ 0.99999905]][[ 0.89999952]][[ 0.00024325]][[ 0.99998951]]
14 22.0 0.0289256198347 376.947375933 1.0[[ 0.05427434]][[ 0.99999803]][[ 0.99999917]][[ 0.73076881]][[ 0.00021284]][[ 0.99999607]]
247 98.0 0.0257184506456 122.346386195 1.13953488372[[ 0.2015904]][[ 0.99998074]][[ 0.9999969]][[ 0.91245636]][[ 0.00079055]][[ 0.99996149]]
22 28.0 0.0280612244898 410.592403009 1.0[[ 0.07753477]][[ 0.9999972]][[ 0.99999881]][[ 0.72972913]][[ 0.00030406]][[ 0.9999944]]
203 82.0 0.0301903628792 162.361402728 1.0[[ 0.2015904]][[ 0.99998384]][[ 0.9999969]][[ 0.893876]][[ 0.00079055]][[ 0.99996769]]
86 50.0 0.0344 211.308290604 1.0[[ 0.10854868]][[ 0.99999249]][[ 0.99999833]][[ 0.87499917]][[ 0.00042568]][[ 0.99998498]]
21 26.0 0.0310650887574 454.325085334 1.0[[ 0.06978129]][[ 0.99999738]][[ 0.99999893]][[ 0.74285661]][[ 0.00027365]][[ 0.99999475]]
77 44.0 0.0397727272727 24.1136940947 1.0[[ 0.08528825]][[ 0.99999338]][[ 0.99999869]][[ 0.88999934]][[ 0.00033446]][[ 0.99998676]]
124 84.0 0.0175736961451 62.9199148849 1.0243902439[[ 0.18608345]][[ 0.99998861]][[ 0.99999714]][[ 0.85628599]][[ 0.00072974]][[ 0.99997723]]
166 74.0 0.0303140978817 163.366329331 1.0[[ 0.14731606]][[ 0.9999867]][[ 0.99999773]][[ 0.90686161]][[ 0.00057771]][[ 0.99997341]]
31 30.0 0.0344444444444 193.45233397 1.0[[ 0.09304172]][[ 0.99999648]][[ 0.99999857]][[ 0.74468014]][[ 0.00036487]][[ 0.99999296]]
69 44.0 0.0356404958678 348.522820672 1.0[[ 0.1007952]][[ 0.99999374]][[ 0.99999845]][[ 0.85869488]][[ 0.00039528]][[ 0.99998748]]
